name,sector,founded,headquarters,founders,country,amount_raised_inr,state
Finsire,Fintech,2021.0,Chennai,"Shreyans Nahar,Subramaniam Chintamani,Mridul Manhas",India,"Rs 107,900,000.0",Tamil Nadu
Finswealth,Fintech,2022.0,New Delhi,,India,,Delhi
Finteck,Fintech,2022.0,Bhubaneswar,"Abhishek Kumar Sharma, Ujjwal Kumar Sittu",India,,Odisha
Fintellix,Enterprise Tech,2006.0,Bengaluru,Anup Pai,India,"Rs 763,600,000.0",Karnataka
Fintso,Fintech,2019.0,Mumbai,"George Mitra, Rajan Pathak",India,"Rs 215,800,000.0",Maharashtra
Finvu,Fintech,2019.0,Pune,"Manoj Alandkar,Munish Bhatia",India,"Rs 207,500,000.0",Maharashtra
Finzy,Fintech,2016.0,Bengaluru,"Abhinandan Sangam, Amit More, Vishwas Dixit",India,"Rs 356,900,000.0",Karnataka
Fiona Diamonds,Ecommerce,2017.0,Mumbai,"Parag Agrawal, Saurabh Agrawal",India,,Maharashtra
Fipola,Consumer Services,2016.0,Chennai,Sushil Kanugolu,India,"Rs 249,000,000.0",Tamil Nadu
Firefly Diamonds,Ecommerce,2023.0,Mumbai,"Adit Bhansali,Aayush Bhansali",India,"Rs 249,000,000.0",Maharashtra
Firescore Interactive,Media & Entertainment,2018.0,Mumbai,"Karan Khairajani, Surojit Roy",India,,Maharashtra
First Coffee,Ecommerce,2023.0,New Delhi,"Chandini Purnesha, Shiv Dhawan, Sohrab Sitaram",India,"Rs 99,600,000.0",Delhi
First Eat,Foodtech,2015.0,Gurugram,"Mannat Wadehra, Rishabh Tickoo, Saikat Bagchi, Shitiz Dogra",India,,Haryana
First Moms Club,Media & Entertainment,2010.0,Mumbai,Ruchita Dar Shah,India,,Maharashtra
FirstClub,Consumer Services,2024.0,Bengaluru,Ayyappan R,India,"Rs 664,000,000.0",Karnataka
FirstCry,Ecommerce,2010.0,Pune,"Amitava Saha, Prashant Jadhav, Sanskriti Hattimattur, Supam Maheshwari",India,"Rs 93,790,000,000.0",Maharashtra
FirstCure Health,Health Tech,2021.0,Noida,Nikhil Bansal,India,,Uttar Pradesh
FirstCut,Consumer Services,2016.0,Gurugram,"Abhinav Tyagi, Kunal Singhal, Rishabh Ranjan",India,,Haryana
FirstU,Consumer Services,2016.0,Bengaluru,"Anwar Sadad, Muhammed Rizvan",India,,Karnataka
Firstup Spaces,Real Estate Tech,2022.0,Raipur,,India,,Chhattisgarh
Fisdom,Fintech,2015.0,Bengaluru,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V.",India,"Rs 3,506,750,000.0",Karnataka
FitMeIn,Health Tech,2015.0,New Delhi,Nidhisha Varshney,India,,Delhi
FitPhilia,Enterprise Tech,2016.0,Pune,Nirav Patil,India,,Maharashtra
Fitato Health Solutions Private,Health Tech,2015.0,Pune,Aditya S,India,,Maharashtra
